name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,14300,29.61,13.92,29.69,17.95,28.43,82
10%+WM,11554,30.83,12.15,30.9,14.8,29.83,72
80%+GM,540,26.17,11.89,27.35,16.44,25.48,90
90%+WM,2497,32.29,8.802,32.86,10.63,32.31,0
Right_Cerebral_White_Matter_80%+,1049,27.67,8.043,28.78,9.975,27.66,0
Left_Cerebral_White_Matter_80%+,1050,33.16,8.732,34.79,9.172,33.28,0
Right Caudate,142,23.61,11.26,22.33,15.38,22.07,48
Right Cerebellum,766,31.44,9.678,31.67,12.37,32.94,57
Right Frontal Lobe,3178,24.3,11.44,25.07,14.4,22.25,71
Right Insula,247,22.93,5.647,23.23,7.052,22.68,0
Right Occipital Lobe,1202,40.09,13.33,40.33,16.98,40.53,79
Right Parietal Lobe,2359,32.36,10.38,31.92,12.39,30.08,67
Right Putamen,221,22.85,5.531,23.71,7.618,22.64,0
Right Temporal Lobe,1773,22.64,10.8,23.02,15.64,23.72,63
Right Thalamus,277,43.97,13.38,40.72,20.4,45.1,60
Left Caudate,293,30.61,12.05,30.6,13.52,30.06,48
Left Cerebellum,744,32.19,10.55,33.38,12.61,34.3,62
Left Frontal Lobe,3324,29.68,13.66,31.41,16.79,27.21,80
Left Insula,316,29.42,9.21,29.01,11.67,29.18,24
Left Occipital Lobe,1429,34.62,13.68,36.4,17.57,32.3,85
Left Parietal Lobe,2246,35.73,11.52,36.35,13.01,32.35,78
Left Putamen,254,25.58,7.419,25.78,11.59,25.46,0
Left Temporal Lobe,1816,25.31,13.18,25.68,20.9,25.49,74
Left Thalamus,293,47.44,12.81,44.86,16.95,47.99,57
RICA,3576,25.23,11.85,24.99,14.02,24.05,75
LICA,4514,29.27,13.84,30.5,18.47,27.96,81
VBA,2001,34.57,14.05,35,19.1,33.56,84
Frontal Pole,677,18.21,12.75,16.99,21.33,13.9,79
Insular Cortex,48,24.87,5.984,24.08,7.929,23.99,0
Superior Frontal Gyrus,27,38.28,11.49,37.64,19.27,34.55,77
Middle Frontal Gyrus,65,37.47,10.87,37.69,11.33,33.23,76
"Inferior Frontal Gyrus, pars triangularis",8,,,,,,
"Inferior Frontal Gyrus, pars opercularis",20,31.71,7.715,29.8,10.27,30.75,41
Precentral Gyrus,100,29.6,9.85,29.73,15.68,26.8,67
Temporal Pole,166,11.26,8.84,9.002,8.914,10.76,30
"Superior Temporal Gyrus, anterior division",0,,,,,,
"Superior Temporal Gyrus, posterior division",15,23.15,9.801,24.13,13.04,20.49,80
"Middle Temporal Gyrus, anterior division",7,,,,,,
"Middle Temporal Gyrus, posterior division",49,23.82,7.908,21.9,13.12,23.9,49
"Middle Temporal Gyrus, temporooccipital part",41,27.77,13.63,25.84,20.16,26.65,87
"Inferior Temporal Gyrus, anterior division",2,,,,,,
"Inferior Temporal Gyrus, posterior division",4,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",29,30.75,10.31,29.14,14.25,31.02,77
Postcentral Gyrus,90,27.61,9.18,26.9,11.23,26.75,67
Superior Parietal Lobule,31,33.46,10.79,31.38,18.49,30.6,77
"Supramarginal Gyrus, anterior division",33,27.18,7.177,28.1,8.08,26.1,58
"Supramarginal Gyrus, posterior division",22,27.42,9.21,25.07,6.723,27.15,70
Angular Gyrus,38,27.86,7.914,28.18,9.13,26.36,65
"Lateral Occipital Cortex, superior division",338,30.51,14.02,29.08,17.33,28.27,88
