name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,12989,31.23,11.64,31.66,16.04,30.56,87
80%+GM,529,40.96,10.33,41.62,12.80,42.45,75
10%+WM,11691,27.93,12.21,27.92,18.83,25.84,90
90%+WM,2729,15.75,6.40,14.79,7.60,14.89,67
gmmask_pure_cort,353,40.56,11.33,40.55,14.45,42.17,78
wmmask_pure_cereb,2366,14.50,5.32,13.94,6.62,14.18,61
Right_Cerebral_White_Matter_80%+,1090,15.67,5.77,14.87,6.59,15.30,57
Left_Cerebral_White_Matter_80%+,1082,13.92,5.82,13.03,6.76,13.35,64
Right Caudate,146,24.23,9.85,22.77,15.26,23.09,77
Right Cerebellum,369,33.88,12.39,36.94,19.31,34.31,87
Right Frontal Lobe,2701,28.49,11.85,29.41,18.08,27.04,86
Right Insula,126,31.36,10.18,34.05,12.49,28.45,78
Right Occipital Lobe,893,34.40,13.03,35.72,20.66,30.26,93
Right Parietal Lobe,1736,31.65,14.25,32.89,20.16,28.54,93
Right Putamen,107,28.15,7.12,28.53,10.27,27.19,46
Right Temporal Lobe,1315,26.35,12.47,26.76,18.66,24.21,89
Right Thalamus,139,32.80,13.96,31.41,21.83,31.57,88
Left Caudate,148,20.82,9.28,19.07,14.10,19.66,76
Left Cerebellum,335,32.53,11.93,35.97,18.47,33.48,87
Left Frontal Lobe,2707,26.19,11.08,26.52,16.99,25.26,86
Left Insula,152,28.09,8.20,28.38,10.39,25.56,70
Left Occipital Lobe,1057,31.26,12.64,32.08,19.58,26.72,94
Left Parietal Lobe,1499,27.53,13.10,28.11,19.88,25.46,92
Left Putamen,106,25.13,6.65,25.14,9.83,24.19,52
Left Temporal Lobe,1275,23.37,11.82,24.07,17.02,21.64,88
Left Thalamus,136,30.15,12.87,29.76,17.66,28.51,87
RICA,3393,32.95,10.86,33.57,14.39,31.35,85
LICA,3488,29.26,10.29,29.68,13.94,28.28,85
VBA,1202,34.84,10.24,35.74,14.79,31.57,90
Frontal Pole,540,32.63,10.52,34.49,12.91,33.60,76
Insular Cortex,50,33.87,5.15,33.41,7.06,34.58,0
Superior Frontal Gyrus,7,,,,,,
Middle Frontal Gyrus,96,35.34,7.87,35.54,11.14,33.59,81
"Inferior Frontal Gyrus, pars triangularis",3,,,,,,
"Inferior Frontal Gyrus, pars opercularis",14,36.34,6.35,36.30,8.03,35.48,55
Precentral Gyrus,84,34.05,8.74,34.26,9.90,30.99,88
Temporal Pole,144,28.95,5.88,29.13,7.18,29.06,26
"Superior Temporal Gyrus, anterior division",0,,,,,,
"Superior Temporal Gyrus, posterior division",17,38.33,8.86,40.14,15.90,38.81,71
"Middle Temporal Gyrus, anterior division",2,,,,,,
"Middle Temporal Gyrus, posterior division",23,32.75,9.70,32.25,18.70,32.98,77
"Middle Temporal Gyrus, temporooccipital part",29,36.79,7.61,35.69,13.29,36.32,69
"Inferior Temporal Gyrus, anterior division",0,,,,,,
"Inferior Temporal Gyrus, posterior division",0,,,,,,
"Inferior Temporal Gyrus, temporooccipital part",20,30.00,6.84,29.10,7.22,28.84,64
Postcentral Gyrus,121,30.71,7.21,30.76,9.27,28.61,79
Superior Parietal Lobule,20,28.66,7.71,30.58,10.88,28.85,75
"Supramarginal Gyrus, anterior division",15,34.16,6.15,32.96,7.32,33.78,46
"Supramarginal Gyrus, posterior division",11,36.94,8.15,39.30,11.72,38.55,53
Angular Gyrus,25,39.42,6.09,38.79,7.03,39.34,60
"Lateral Occipital Cortex, superior division",279,37.67,9.46,37.55,12.69,36.13,87
"Lateral Occipital Cortex, inferior division",100,34.18,9.85,33.06,15.35,33.77,85
Intracalcarine Cortex,13,47.22,7.84,47.98,11.20,42.61,86
Frontal Medial Cortex,34,16.61,8.59,17.50,14.07,12.13,67
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),63,32.25,8.88,35.19,10.62,29.87,82
Subcallosal Cortex,38,21.30,6.78,21.99,10.52,20.29,22
Paracingulate Gyrus,100,42.00,5.54,41.81,8.14,42.90,5
"Cingulate Gyrus, anterior division",92,38.13,6.26,37.93,9.90,38.38,7
"Cingulate Gyrus, posterior division",51,54.05,9.82,54.43,14.08,55.17,72
Precuneous Cortex,124,44.19,8.72,44.77,12.01,41.60,84
Cuneal Cortex,11,42.68,7.81,44.17,7.27,37.84,84
Frontal Orbital Cortex,96,30.35,8.05,32.01,11.25,30.82,41
"Parahippocampal Gyrus, anterior division",18,27.38,4.19,25.86,6.80,26.95,0
"Parahippocampal Gyrus, posterior division",5,,,,,,
Lingual Gyrus,78,42.84,6.20,43.10,7.87,42.17,50
"Temporal Fusiform Cortex, anterior division",2,,,,,,
"Temporal Fusiform Cortex, posterior division",26,22.56,9.95,21.53,16.23,23.22,76
Temporal Occipital Fusiform Cortex,10,37.42,4.44,38.80,3.36,36.35,26
Occipital Fusiform Gyrus,29,37.80,8.81,38.74,11.70,33.97,85
Frontal Operculum Cortex,5,,,,,,
Central Opercular Cortex,22,31.87,5.42,33.42,6.32,29.80,28
Parietal Operculum Cortex,0,,,,,,
Planum Polare,3,,,,,,
Heschl's Gyrus (includes H1 and H2),0,,,,,,
Planum Temporale,0,,,,,,
Supracalcarine Cortex,0,,,,,,
Occipital Pole,136,38.07,9.48,38.73,13.71,36.45,87
Left Cerebral White Matter,2315,19.18,9.92,16.98,12.63,18.18,87
Left Cerebral Cortex,3836,32.67,10.11,33.21,13.00,31.72,85
Left Lateral Ventricle,58,22.55,12.81,21.73,23.00,20.73,88
Left Thalamus,66,36.69,11.07,34.79,18.35,35.84,80
Left Caudate,13,32.99,4.60,31.26,6.42,33.30,0
Left Putamen,43,31.02,4.58,30.83,5.30,30.67,0
Left Pallidum,15,18.59,3.41,18.02,4.40,18.25,0
Brain-Stem,226,24.89,8.13,22.88,8.39,24.59,63
Left Hippocampus,14,46.34,8.95,49.82,13.09,44.74,77
Left Amygdala,16,27.52,3.48,27.88,1.72,27.21,0
Left Accumbens,1,,,,,,
Right Cerebral White Matter,2238,20.93,10.32,18.34,13.32,19.84,86
Right Cerebral Cortex,3807,35.85,10.59,36.33,13.41,34.63,84
Right Lateral Ventricle,45,24.67,14.63,24.36,18.60,23.10,90
Right Thalamus,63,43.29,11.39,44.29,18.50,42.60,81
