name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,8852,23.08,9.463,21.88,11.39,22.32,43
10%+WM,11420,23.34,9.921,21.89,11.72,22.38,61
80%+GM,310,22.49,6.124,21.83,6.889,22.49,0
90%+WM,2358,24.25,11.29,21.81,13.22,22.41,82
Right_Cerebral_White_Matter_80%+,1000,19.79,8.952,18.25,9.8,19.49,63
Left_Cerebral_White_Matter_80%+,999,22.65,10.04,20.97,9.69,21.71,73
Right Caudate,126,18.9,6.205,18.66,8.262,18.75,0
Right Cerebellum,572,27.04,8.276,25.19,12.8,27.66,36
Right Frontal Lobe,1628,23.42,10.3,21.84,13.93,23.74,55
Right Insula,180,22.43,5.972,22.21,6.203,21.44,0
Right Occipital Lobe,761,20.47,6.615,20.59,8.823,19.64,14
Right Parietal Lobe,1411,18.12,6.946,17.09,8.213,18.14,16
Right Putamen,213,26.56,7.686,26.63,11.19,25.81,25
Right Temporal Lobe,1065,18.54,7.575,17.45,9.329,14.26,59
Right Thalamus,256,33.75,10.93,33.83,15.93,32.81,63
Left Caudate,266,23.98,8.376,23.36,11.26,22.53,40
Left Cerebellum,611,26.52,7.888,24.87,10.42,26.83,41
Left Frontal Lobe,1712,26.41,11.85,24.01,14.97,26.06,65
Left Insula,235,25.46,7.017,24.31,7.483,25.62,38
Left Occipital Lobe,957,21.74,7.693,21.85,9.243,20.46,54
Left Parietal Lobe,1405,22.08,7.882,21.33,9.513,21.29,43
Left Putamen,234,29.71,6.847,30.18,8.268,28.98,17
Left Temporal Lobe,977,24.06,8.515,23.54,8.72,23.38,48
Left Thalamus,269,36.41,12.96,36.41,19.82,35.75,75
RICA,2172,20.75,8.713,19.04,11.17,18.2,57
LICA,2687,24.54,10.28,22.78,11.43,24.22,55
VBA,1244,21.12,6.156,21.24,8.157,20.38,0
Frontal Pole,299,37.35,10.6,37.77,14.52,36.59,47
Insular Cortex,28,23.3,3.054,22.75,3.771,23.3,0
Superior Frontal Gyrus,1,,,,,,
Middle Frontal Gyrus,19,18.77,7.05,18.11,7.554,18.69,0
"Inferior Frontal Gyrus, pars triangularis",5,,,,,,
"Inferior Frontal Gyrus, pars opercularis",9,,,,,,
Precentral Gyrus,41,17.52,6.755,17.07,9.345,17.28,0
Temporal Pole,120,25.09,3.798,25.43,5.735,25.13,0
"Superior Temporal Gyrus, anterior division",0,,,,,,
"Superior Temporal Gyrus, posterior division",13,24.07,6.062,21.71,8.689,25,0
"Middle Temporal Gyrus, anterior division",7,,,,,,
"Middle Temporal Gyrus, posterior division",31,15.35,3.342,14.57,4.769,15.3,0
