name,Nvoxels,Mean,Std,Median,IQR,Precision-weighted mean,I2
10%+GM,13833,69.41,44.64,62.13,47.03,57.79,93
10%+WM,8869,58.72,29.96,57.41,37.7,53.55,88
80%+GM,526,48.78,18.91,50.36,23.16,46.51,94
90%+WM,0,,,,,,
Right_Cerebral_White_Matter_80%+,355,38,24.01,34.94,37.11,34.95,55
Left_Cerebral_White_Matter_80%+,359,42.56,23.88,39.87,34.72,33.76,56
Right Caudate,84,61.42,31.04,58.67,42.46,61.93,82
Right Cerebellum,414,51.24,29.66,49.64,30.29,54.25,89
Right Frontal Lobe,2495,81.14,42.95,71.09,47.18,70.34,87
Right Insula,213,44.86,16.42,43.79,23.06,42.05,66
Right Occipital Lobe,987,59.54,46.02,50.54,35.11,48.65,94
Right Parietal Lobe,1795,72.35,49.15,63.69,52.02,56.91,95
Right Putamen,170,58.86,21.13,59.99,26.24,44.62,75
Right Temporal Lobe,1581,42.55,29.36,41.85,38.62,40.87,86
Right Thalamus,135,85.03,40.04,78.77,38.99,81.31,79
Left Caudate,160,58.62,33.4,55.89,56.2,59.02,82
Left Cerebellum,637,50.32,27.5,51.11,20.52,51.22,83
Left Frontal Lobe,2584,90.36,41.85,82.62,46.73,79.6,87
Left Insula,266,61.68,25.1,58.8,29.62,55.2,72
Left Occipital Lobe,1168,60.53,42.3,53.43,32.86,55.52,94
Left Parietal Lobe,1707,81.9,47.89,72.24,48.65,67.82,94
Left Putamen,174,65.61,25.2,61.56,36.85,57.79,73
Left Temporal Lobe,1626,49.56,34.79,46.84,45.81,44.1,91
Left Thalamus,123,93.9,39.68,84.64,39.82,88.54,83
RICA,3375,67.29,38.69,61.71,40.3,57.6,91
LICA,3993,78.21,42.92,73.28,46.59,67.02,92
VBA,1776,50.72,35.44,47.75,32.45,48.22,93
Frontal Pole,627,95.84,36.94,90.77,42.85,80.99,86
Insular Cortex,47,49.36,13.5,44.17,20.23,47.58,55
Superior Frontal Gyrus,25,69.57,26.11,65.66,25.74,57.02,90
Middle Frontal Gyrus,62,100.1,32.69,96.73,50.28,83.55,93
"Inferior Frontal Gyrus, pars triangularis",9,,,,,,
"Inferior Frontal Gyrus, pars opercularis",22,82.82,23.06,76.64,27.76,75.82,65
Precentral Gyrus,96,81.91,30.96,78.77,30.48,74.11,88
Temporal Pole,162,48.34,21.58,46.75,28.4,47.56,72
"Superior Temporal Gyrus, anterior division",1,,,,,,
